data_hora,instancia,algoritmo,alfa,num_iteracoes,tamanho_bloco,seed,tempo_seg,melhor_custo,media_custos,melhor_alfa
2026-07-05 17:48:31,../PCSPG-CRR\C01-A.stp,guloso,,,,1783284511,0.010,18,18,
2026-07-05 17:48:31,../PCSPG-CRR\C01-A.stp,randomizado,0.1,30,,1783284511,0.292,18,18,
2026-07-05 17:48:34,../PCSPG-CRR\C01-A.stp,reativo,0.1;0.2;0.3,300,30,1783284511,2.975,18,18,0.3
2026-07-05 17:48:34,../PCSPG-CRR\C01-B.stp,guloso,,,,1783284512,0.010,118,118,
2026-07-05 17:48:34,../PCSPG-CRR\C01-B.stp,randomizado,0.1,30,,1783284512,0.301,118,122,
2026-07-05 17:48:37,../PCSPG-CRR\C01-B.stp,reativo,0.1;0.2;0.3,300,30,1783284512,2.929,97,120.583333333333,0.3
2026-07-05 17:48:37,../PCSPG-CRR\C02-A.stp,guloso,,,,1783284513,0.010,50,50,
2026-07-05 17:48:38,../PCSPG-CRR\C02-A.stp,randomizado,0.1,30,,1783284513,0.279,50,50,
2026-07-05 17:48:41,../PCSPG-CRR\C02-A.stp,reativo,0.1;0.2;0.3,300,30,1783284513,2.876,50,50,0.1
2026-07-05 17:48:41,../PCSPG-CRR\C02-B.stp,guloso,,,,1783284514,0.010,213,213,
2026-07-05 17:48:41,../PCSPG-CRR\C02-B.stp,randomizado,0.1,30,,1783284514,0.294,191,202.466666666667,
2026-07-05 17:48:44,../PCSPG-CRR\C02-B.stp,reativo,0.1;0.2;0.3,300,30,1783284514,2.918,186,198.31,0.3
2026-07-05 17:48:44,../PCSPG-CRR\C03-A.stp,guloso,,,,1783284515,0.010,414,414,
2026-07-05 17:48:44,../PCSPG-CRR\C03-A.stp,randomizado,0.1,30,,1783284515,0.294,414,414,
2026-07-05 17:48:47,../PCSPG-CRR\C03-A.stp,reativo,0.1;0.2;0.3,300,30,1783284515,2.830,414,414,0.2
2026-07-05 17:48:47,../PCSPG-CRR\C03-B.stp,guloso,,,,1783284516,0.010,829,829,
2026-07-05 17:48:47,../PCSPG-CRR\C03-B.stp,randomizado,0.1,30,,1783284516,0.294,826,845.1,
2026-07-05 17:48:50,../PCSPG-CRR\C03-B.stp,reativo,0.1;0.2;0.3,300,30,1783284516,2.895,815,841.67,0.3
2026-07-05 17:48:50,../PCSPG-CRR\C04-A.stp,guloso,,,,1783284517,0.010,626,626,
2026-07-05 17:48:51,../PCSPG-CRR\C04-A.stp,randomizado,0.1,30,,1783284517,0.281,626,626.6,
2026-07-05 17:48:53,../PCSPG-CRR\C04-A.stp,reativo,0.1;0.2;0.3,300,30,1783284517,2.878,618,626.68,0.3
2026-07-05 17:48:53,../PCSPG-CRR\C04-B.stp,guloso,,,,1783284518,0.010,1134,1134,
2026-07-05 17:48:54,../PCSPG-CRR\C04-B.stp,randomizado,0.1,30,,1783284518,0.292,1130,1141.9,
2026-07-05 17:48:57,../PCSPG-CRR\C04-B.stp,reativo,0.1;0.2;0.3,300,30,1783284518,2.990,1122,1140.86333333333,0.2
2026-07-05 17:48:57,../PCSPG-CRR\C05-A.stp,guloso,,,,1783284519,0.014,1112,1112,
2026-07-05 17:48:57,../PCSPG-CRR\C05-A.stp,randomizado,0.1,30,,1783284519,0.322,1112,1117.86666666667,
2026-07-05 17:49:00,../PCSPG-CRR\C05-A.stp,reativo,0.1;0.2;0.3,300,30,1783284519,2.938,1101,1116.13,0.2
2026-07-05 17:49:00,../PCSPG-CRR\C05-B.stp,guloso,,,,1783284520,0.013,1600,1600,
2026-07-05 17:49:01,../PCSPG-CRR\C05-B.stp,randomizado,0.1,30,,1783284520,0.314,1574,1585.2,
2026-07-05 17:49:04,../PCSPG-CRR\C05-B.stp,reativo,0.1;0.2;0.3,300,30,1783284520,3.003,1572,1586.32,0.2
2026-07-05 17:49:04,../PCSPG-CRR\C06-A.stp,guloso,,,,1783284521,0.010,18,18,
2026-07-05 17:49:04,../PCSPG-CRR\C06-A.stp,randomizado,0.1,30,,1783284521,0.309,18,18,
2026-07-05 17:49:07,../PCSPG-CRR\C06-A.stp,reativo,0.1;0.2;0.3,300,30,1783284521,3.202,18,18,0.2
